
STARTING: getCost() (unittest1)
Testing of int getCost(int card):
Test: 194 PASS:  Card Entered: 25, Returned Cost: 4, Expected Cost: 4
Test: 195 PASS:  Card Entered: -1, Returned Cost: -1, Expected Cost: -1
Test: 196 PASS:  Card Entered: 32, Returned Cost: -1, Expected Cost: -1
Test: 197 PASS:  Card Entered: 17, Returned Cost: 5, Expected Cost: 5
Test: 198 PASS:  Card Entered: 40, Returned Cost: -1, Expected Cost: -1
Test: 199 PASS:  Card Entered: -1, Returned Cost: -1, Expected Cost: -1
Test: 200 PASS:  Card Entered: 38, Returned Cost: -1, Expected Cost: -1
Test: 201 PASS:  Card Entered: 16, Returned Cost: 3, Expected Cost: 3
Test: 202 PASS:  Card Entered: 8, Returned Cost: 5, Expected Cost: 5
Test: 203 PASS:  Card Entered: 0, Returned Cost: 0, Expected Cost: 0
Test: 204 PASS:  Card Entered: 1, Returned Cost: 2, Expected Cost: 2
Test: 205 PASS:  Card Entered: 23, Returned Cost: 5, Expected Cost: 5
Test: 206 PASS:  Card Entered: 1, Returned Cost: 2, Expected Cost: 2
Test: 207 PASS:  Card Entered: 5, Returned Cost: 3, Expected Cost: 3
Test: 208 PASS:  Card Entered: 18, Returned Cost: 3, Expected Cost: 3
Test: 209 PASS:  Card Entered: 22, Returned Cost: 2, Expected Cost: 2
Test: 210 PASS:  Card Entered: 32, Returned Cost: -1, Expected Cost: -1
Test: 211 PASS:  Card Entered: 19, Returned Cost: 5, Expected Cost: 5
Test: 212 PASS:  Card Entered: 26, Returned Cost: 4, Expected Cost: 4
Test: 213 PASS:  Card Entered: 38, Returned Cost: -1, Expected Cost: -1
Test: 214 PASS:  Card Entered: 3, Returned Cost: 8, Expected Cost: 8
Test: 215 PASS:  Card Entered: -2, Returned Cost: -1, Expected Cost: -1
Test: 216 PASS:  Card Entered: 28, Returned Cost: -1, Expected Cost: -1
Test: 217 PASS:  Card Entered: 27, Returned Cost: -1, Expected Cost: -1
Test: 218 PASS:  Card Entered: 12, Returned Cost: 4, Expected Cost: 4
Test: 219 PASS:  Card Entered: 18, Returned Cost: 3, Expected Cost: 3
Test: 220 PASS:  Card Entered: 35, Returned Cost: -1, Expected Cost: -1
Test: 221 PASS:  Card Entered: 22, Returned Cost: 2, Expected Cost: 2
Test: 222 PASS:  Card Entered: 7, Returned Cost: 6, Expected Cost: 6
Test: 223 PASS:  Card Entered: 25, Returned Cost: 4, Expected Cost: 4
Test: 224 PASS:  Card Entered: 32, Returned Cost: -1, Expected Cost: -1
Test: 225 PASS:  Card Entered: 34, Returned Cost: -1, Expected Cost: -1
Test: 226 PASS:  Card Entered: 26, Returned Cost: 4, Expected Cost: 4
Test: 227 PASS:  Card Entered: 23, Returned Cost: 5, Expected Cost: 5
Test: 228 PASS:  Card Entered: 10, Returned Cost: 4, Expected Cost: 4
Test: 229 PASS:  Card Entered: 25, Returned Cost: 4, Expected Cost: 4
Test: 230 PASS:  Card Entered: 25, Returned Cost: 4, Expected Cost: 4
Test: 231 PASS:  Card Entered: 8, Returned Cost: 5, Expected Cost: 5
Test: 232 PASS:  Card Entered: 1, Returned Cost: 2, Expected Cost: 2
Test: 233 PASS:  Card Entered: 36, Returned Cost: -1, Expected Cost: -1
Test: 234 PASS:  Card Entered: 10, Returned Cost: 4, Expected Cost: 4
Test: 235 PASS:  Card Entered: 5, Returned Cost: 3, Expected Cost: 3
Test: 236 PASS:  Card Entered: 18, Returned Cost: 3, Expected Cost: 3
Test: 237 PASS:  Card Entered: 14, Returned Cost: 3, Expected Cost: 3
Test: 238 PASS:  Card Entered: 12, Returned Cost: 4, Expected Cost: 4
Test: 239 PASS:  Card Entered: 39, Returned Cost: -1, Expected Cost: -1
Test: 240 PASS:  Card Entered: 38, Returned Cost: -1, Expected Cost: -1
Test: 241 PASS:  Card Entered: 4, Returned Cost: 0, Expected Cost: 0
Test: 242 PASS:  Card Entered: 17, Returned Cost: 5, Expected Cost: 5
Test: 243 PASS:  Card Entered: 23, Returned Cost: 5, Expected Cost: 5
Test: 244 PASS:  Card Entered: 1, Returned Cost: 2, Expected Cost: 2
Test: 245 PASS:  Card Entered: 23, Returned Cost: 5, Expected Cost: 5
Test: 246 PASS:  Card Entered: 24, Returned Cost: 4, Expected Cost: 4
Test: 247 PASS:  Card Entered: 32, Returned Cost: -1, Expected Cost: -1
Test: 248 PASS:  Card Entered: 9, Returned Cost: 4, Expected Cost: 4
Test: 249 PASS:  Card Entered: 39, Returned Cost: -1, Expected Cost: -1
Test: 250 PASS:  Card Entered: 10, Returned Cost: 4, Expected Cost: 4
Test: 251 PASS:  Card Entered: 3, Returned Cost: 8, Expected Cost: 8
Test: 252 PASS:  Card Entered: 20, Returned Cost: 3, Expected Cost: 3
Test: 253 PASS:  Card Entered: 19, Returned Cost: 5, Expected Cost: 5
Test: 254 PASS:  Card Entered: 30, Returned Cost: -1, Expected Cost: -1
Test: 255 PASS:  Card Entered: 12, Returned Cost: 4, Expected Cost: 4
Test: 256 PASS:  Card Entered: 13, Returned Cost: 4, Expected Cost: 4
Test: 257 PASS:  Card Entered: 16, Returned Cost: 3, Expected Cost: 3
Test: 258 PASS:  Card Entered: 37, Returned Cost: -1, Expected Cost: -1
Test: 259 PASS:  Card Entered: 25, Returned Cost: 4, Expected Cost: 4
Test: 260 PASS:  Card Entered: 1, Returned Cost: 2, Expected Cost: 2
Test: 261 PASS:  Card Entered: 22, Returned Cost: 2, Expected Cost: 2
Test: 262 PASS:  Card Entered: 36, Returned Cost: -1, Expected Cost: -1
Test: 263 PASS:  Card Entered: 5, Returned Cost: 3, Expected Cost: 3
Test: 264 PASS:  Card Entered: 17, Returned Cost: 5, Expected Cost: 5
Test: 265 PASS:  Card Entered: 5, Returned Cost: 3, Expected Cost: 3
Test: 266 PASS:  Card Entered: 12, Returned Cost: 4, Expected Cost: 4
Test: 267 PASS:  Card Entered: 38, Returned Cost: -1, Expected Cost: -1
Test: 268 PASS:  Card Entered: 21, Returned Cost: 4, Expected Cost: 4
Test: 269 PASS:  Card Entered: 27, Returned Cost: -1, Expected Cost: -1
Test: 270 PASS:  Card Entered: 36, Returned Cost: -1, Expected Cost: -1
Test: 271 PASS:  Card Entered: 19, Returned Cost: 5, Expected Cost: 5
Test: 272 PASS:  Card Entered: 33, Returned Cost: -1, Expected Cost: -1
Test: 273 PASS:  Card Entered: 12, Returned Cost: 4, Expected Cost: 4
Test: 274 PASS:  Card Entered: 2, Returned Cost: 5, Expected Cost: 5
Test: 275 PASS:  Card Entered: 37, Returned Cost: -1, Expected Cost: -1
Test: 276 PASS:  Card Entered: 37, Returned Cost: -1, Expected Cost: -1
Test: 277 PASS:  Card Entered: 29, Returned Cost: -1, Expected Cost: -1
Test: 278 PASS:  Card Entered: 29, Returned Cost: -1, Expected Cost: -1
Test: 279 PASS:  Card Entered: 6, Returned Cost: 6, Expected Cost: 6
Test: 280 PASS:  Card Entered: 27, Returned Cost: -1, Expected Cost: -1
Test: 281 PASS:  Card Entered: -2, Returned Cost: -1, Expected Cost: -1
Test: 282 PASS:  Card Entered: 12, Returned Cost: 4, Expected Cost: 4
Test: 283 PASS:  Card Entered: 6, Returned Cost: 6, Expected Cost: 6
Test: 284 PASS:  Card Entered: 19, Returned Cost: 5, Expected Cost: 5
Test: 285 PASS:  Card Entered: 2, Returned Cost: 5, Expected Cost: 5
Test: 286 PASS:  Card Entered: 21, Returned Cost: 4, Expected Cost: 4
Test: 287 PASS:  Card Entered: 35, Returned Cost: -1, Expected Cost: -1
Test: 288 PASS:  Card Entered: 20, Returned Cost: 3, Expected Cost: 3
